T.PADMA RAO,Telangana Rashtra Samithi,79309
KASANI GNANESHWAR MUDHIRAJ,Indian National Congress,33839
BANDAPELLY SATISH,Bharatiya Janata Party,11781
PAMPARI NARENDER,Rajyadhikara Party,1072
MADAN MOHAN VEMULAWADA,Bahujan Samaj Party,633
ANIL KUMAR KUNCHALA,Communist Party of India  (Marxist),555
R. RAJANI,Independent,444
DASARI SRINIVAS,Independent,260
KONDOJU MOHAN,Independent,232
A. DAVID PRAVEEN KUMAR,Indian Christian Secular Party,207
M. SUNITHA,Bahujana Raajyam Party (Phule Ambedkar),187
N.J. SEETHARAM,Independent,158
MOHAMMED IBRAHIM AHMED,Loktantrik Sarvjan Samaj Party,144
MAYABRAHMA NARASIMHA,Independent,138
JERUSALEM MATHAI,Independent,129
B. PADMA,Independent,127
SHAHADAT KHAN,Aam Aadmi Party,107
V. SIVA RAMA KRISHNA,Jai Bharath Jena Sena Party,95
KANTE SRINIVAS RAO (K.S.R),Ambedkar National Congress,88
S. SAI YADAV,Independent,85
V. RATNA WESLEY,India Praja Bandhu Party,82
V. G. SHARMA,Independent,78
MALLAMPATI RAJENDER,All India Forward Bloc,76
KADARI PRAVEENA,New India Party,75
S. YADAIAH,Independent,69
A. SRIKANTH MUDHIRAJ,Independent,65
MRANIKRINDA RAJAGOPAL,Independent,62
YELLALA VIJAYA KUMAR,Republican Party of India (A),61
SHAIK ABDUL SAYEED,Independent,39
None of the Above,None of the Above,1582
