VANAMA VENKATESWARA RAO,Indian National Congress,81118
JALAGAM VENKAT RAO,Telangana Rashtra Samithi,76979
ADAVALLI KRISHNA,Bahujana Left Party,5520
VAMSI KRISHNA ESSAMPALLI,Independent,1943
BYREDDY PRABHAKAR REDDY,Bharatiya Janata Party,1466
KOMARAM BUCHAIAH,Independent,1161
VENKATESH DHARAVATH,Independent,984
MEDABOINA VENKATESWAR RAO,Independent,520
HANUMANTHA RAO SURAMPALLI,Pyramid Party of India,475
BHUKYA CHANDRA SHEKAR,Loktantrik Sarvjan Samaj Party,436
SATISH GUNDAPUNENI,Aam Aadmi Party,408
RAMANAREDDY SUREDDY,Independent,310
GUGULOTHU NARESH,Independent,309
G. RAJESH NAIK,Bahujan Mukti Party,206
AVUTAPALLI RAMALINGESWARA RAO,Independent,186
AZAM SHAIK,Independent,168
ANTAR SATISH,Independent,129
None of the Above,None of the Above,1103
