UTTAM KUMAR REDDY NALAMADA,Indian National Congress,92996
SANAMPUDI SAIDIREDDY,Telangana Rashtra Samithi,85530
RAGHUMAREDDY MEKALA,Independent,4944
PAREPALLY SEKHAR RAO,Communist Party of India  (Marxist),2121
BOBBA BHAGYA REDDY,Bharatiya Janata Party,1555
RAMESH SUNKARA,Independent,1454
DASARI SRINIVASARAO,Bahujan Samaj Party,1018
KALVAKUNTLA RAMAIAH,Independent,736
BALU GUGULOTHU,Independent,727
MEDARI VEERAIAH,Independent,420
DESHAGANI SAMBASHIVA GOUD,Telangana Prajala Party,413
B. PADMA,Independent,260
MUDEM KOTIREDDY,Independent,210
BANDARU NAGARAJU,Independent,170
SAMULA SIVA REDDY,All India Forward Bloc,155
MALOTHU GOVIND NAIK,Aam Aadmi Party,135
None of the Above,None of the Above,1621
