GURKA JAIPAL YADAV,Telangana Rashtra Samithi,62892
ACHARY TALLOJU,Bharatiya Janata Party,59445
CHALLA VAMSHI CHAND REDDY,Indian National Congress,46523
GANGARAM SAI BABA,Bahujan Samaj Party,2500
KATTA JANGAIAH,Telangana Inti Party,1334
B. RAJU GOUD,Independent,712
JAMMULA SRIKANTH,Nationalist Congress Party,599
MEESAALA LAKSHMAIAH,Independent,558
DERANGULA SHEKAR,Independent,498
BALASWAMY GOUD SINGAM,Bahujana Left Party,357
KETHAVATH JAIPAL,Bahujan Mukti Party,345
ARJUN REDDY CHEEMARLA,Independent,277
VISLAVATH HARYA NAYAK,Jana Vaahini Party,187
ANTHIREDDY ARAVINDA REDDY,Shiv Sena,180
V.AMARNATH,India Praja Bandhu Party,151
None of the Above,None of the Above,1359
