RAMPRATAP KASNIYAN,Bharatiya Janata Party,69032
HANUMAN MEEL,Indian National Congress,58797
DUNGAR RAM GEDAR,Bahujan Samaj Party,55543
OM RAJPUROHIT,Independent,1346
SHRAWAN RAM,Independent,822
SATYA PAL MEGHWAL,Independent,779
SATYA PRAKASH,Aam Aadmi Party,747
NAND KISHOR,All India Hindustan Congress Party,697
KRISHAN KUMAR,Bharatiya Yuva Shakti,544
MAHAVIR PRASAD PAREEK URF TIWARI,Independent,289
PITAMBER DUTT SHARMA,Independent,277
GOPIRAM,Maharana Kranti Party,233
PAWAN KUMAR MISHAR (P K MISHAR),Independent,192
BHAWANI SHANKAR,Independent,171
DHARAM PAL,Independent,137
None of the Above,None of the Above,1591
