KANDALA UPENDER REDDY,Indian National Congress,89407
TUMMALA NAGESWAR RAO,Telangana Rashtra Samithi,81738
BATTULA HYMAVATHI,Communist Party of India  (Marxist),6769
NANDIGAMA RAJ KUMAR,Independent,6101
SRIDHAR REDDY KONDAPALLI,Bharatiya Janata Party,1170
SUNKARI RAMAMURTHY,Independent,1157
ACHAIAH GURRAM,Independent,1058
KISHAN YERRABOINA,Bahujan Samaj Party,987
SEEMA RAMBABU,Independent,740
PULLAIAH CHARY BANALA,Pyramid Party of India,608
BANOTH LAXMAN NAIK,Independent,490
GOPOJU RAMESH,Telangana Communist Party of India,261
MANDADAPU SHANKAR RAO,Independent,259
KASANI SRINIVASA RAO,Jai Swaraj Party,148
None of the Above,None of the Above,1271
