JOGINDER SINGH AWANA,Bahujan Samaj Party,50976
KRISHNENDRA KAUR (DEEPA),Bharatiya Janata Party,46882
DR. HIMANSHU KATARA,Indian National Congress,38136
KHAIM KARAN SINGH TOULI,Independent,29529
AJAY KATARA,Independent,6399
VIJENDRA SINGH DESHWAL,Rashtriya Loktantrik Party,4845
RAJVEER SINGH,Khushhal Kisan Party,1113
MANPAL SINGH,Independent,675
DHEERAJ PARASHAR,Independent,631
SURJEET SINGH (CHHUTTAN DON),Shiv Sena,301
RADHA DEVI,Bharatiya Yuva Shakti,284
None of the Above,None of the Above,1214
