KALERU  VENKATESHAM,Telangana Rashtra Samithi,61558
G.KISHAN REDDY,Bharatiya Janata Party,60542
NIJJANA RAMESH,Telangana Jana Samithi,4261
GADAPA SREEHARI GANGAPUTRA,Bahujana Left Party,1302
BATHULA RAVI,Independent,1052
KUSURU RAJPAL YADAV,Bahujan Samaj Party,605
RAMYA,Jatiya Mahila Party,541
KATTELA SUBHASH,Prajaa Swaraaj Party,454
A. MUJAHED,India Praja Bandhu Party,350
K. RAJA GOPAL NAIDU,Telangana Prajala Party,229
SHYAM RAO MERU,Independent,180
V.K. UPENDRA,Pyramid Party of India,164
M. DAYANAND SWAMY,Aam Aadmi Party,147
S. NARSIMHA REDDY,Independent,146
IMRAN MOHAMMED,New India Party,142
SAI VINAY SINGH,Republican Party of India (A),136
A.SUDARSHAN GANGAPUTRA,Shiv Sena,125
K. NAVEEN,Telangana Labour Party,108
GUNDRATHI SHARADA GOUD,Independent,98
MD. ISMAIL,Independent,88
TEEGA SATYANARAYANA MUDIRAJ,Bharatiya Republican Paksha,85
AASHISH PRAKASH,Independent,83
KAPISTHALAM DEVANATH,Nava Samaj Party,82
KESHAPAGA BALMUKUND,All India Forward Bloc,81
CHANDU BETLA,Yuva Party,80
VARIKUPPALA SAHADEV,Independent,71
PONNAPATI CHINNA LINGANNA,Independent,69
KOMIRI SATYAM,Independent,55
BOIE RAMANA,Independent,55
DEEPAK KUMAR B,Peoples Republican Party,45
K. SHYAM,Independent,43
None of the Above,None of the Above,1462
